cluster,framing (verbatim hook),advertiser,longest_run_days,total_span_days,relaunch,variants,countries,eu_reach,price,LP type,lp_h1,domain
C7,"""I'm not lazy, I'm just overwhelmed."" Sound familiar?",Human Behavior Lab,58,58,False,1,AUDEGBUS,9,,,,blossomup.co
C8,Hvor mange rigtige fik du? 🤝,CA Studiepartner og a-kasse,316,316,False,2,DK,44102,0 kr,application_form,Den helt rigtige a-kasse,www.ca.dk
C8,"Kan du genkende følelsen af, at der er noget i dig, som altid er på overarbejde, aldrig kan slappe helt af, eller måske at du overtænker, bekymrer dig eller har svært ved at være helt til stede? Retreatet her tilbyder dig et rum over fem dage, hvor opmærksomheden flyttes fra tanker til nærvær og erfaring i kroppen https://mellem-rummet.dk/event/retreat-bbbb","Mellem-Rummet Retreat, Samsø",194,194,False,1,DK,72917,gated,direct_checkout,Mellem-rummet,mellem-rummet.dk
C8,TRX YOGA FLOW✨ BLIV CERTIFICERET TRX YOGA INSTRUKTØR 🖤💛,TRX Education Denmark,122,122,False,1,DK,36158,gated,vsl,Make Friends With Your Boody,mfwyb.dk
C8,"Rejsningsproblemer? Det er mere almindeligt, end du tror.",Sarahs Træning & Fysioterapi,96,96,False,1,DK,6328,,,,fb.me
C8,"3 uddannelser i 1 uddannelse - Psykoterapeut, Stresscoach, Positiv Psykologiformidler",Lind & Dahl,82,82,False,1,DK,132554,,,,https://lindogdahl.dk/
C8,Tag kollegaerne under armen til et hyggeligt og kreativt firmaarrangement hos KREA-U midt i Herning!,Krea-u,81,81,False,1,DK,5271,gated,unknown,Dit kreative værksted i Herning,krea-u.dk
C8,"Du bruger enormt meget energi på at regne ud, hvad andre forventer af dig.",Stærkt Sind,81,81,False,1,DK,822,,,,fb.me
C8,Det ligger os meget på sinde at sikre et godt arbejdsmiljø hos Credin 🤝,Credin Danmark,73,73,False,1,DK,63956,gated,unknown,Credin | Eksperter i Bageriingredienser for moderne bagerier - Credin,credin.dk
C8,𝗦𝗸𝗮𝗹 𝗜 𝘀𝗻𝗮𝗿𝘁 𝗶 𝗲𝘀𝗰𝗮𝗽𝗲 𝗿𝗼𝗼𝗺? 🔐,LOCKED - Teambuilding & Escape Room,67,67,False,1,DK,1675,gated,application_form,DANMARKS STØRSTE  ESCAPE   R00M   UNIVERS,www.locked.dk
C8,"Det giver ret god mening, hvis du vil stå stærkt i dit arbejdsliv.",Djøf,46,46,False,5,DK,49483,0 kr,application_form,Din fagforening - stå stærkt i dit studie- og arbejdsliv,djoef.dk
C8,𝗞𝗲𝗻𝗱𝗲𝗿 𝗱𝘂 𝘀𝘆𝗺𝗽𝘁𝗼𝗺𝗲𝗿𝗻𝗲 𝗽𝗮̊ 𝘀𝘁𝗿𝗲𝘀𝘀? 𝗗𝗲𝘁 𝗸𝗮𝗻 𝗯𝗹.𝗮. 𝘃æ𝗿𝗲:,Livsharmonien,45,45,False,1,DK,3170,gated,unknown,,livsharmonien.dk
